issue_id,creator,created_at,closed_at,labels,n_comments,n_reactions,is_locked
862909588,SimonBasca,2021-04-20T14:58:31Z,2021-05-05T11:26:51Z,"['Bug 🐞', 'P1', 'QA Verified']",1,0,False
862676529,isabelrios,2021-04-20T10:37:57Z,2021-06-25T06:54:52Z,"['Bug 🐞', 'Regression']",1,0,False
862557478,isabelrios,2021-04-20T08:23:10Z,2021-04-21T07:28:30Z,['eng:automation'],1,0,False
861369154,isabelrios,2021-04-19T14:27:16Z,2021-06-24T18:52:44Z,['Bug 🐞'],0,0,False
861357090,isabelrios,2021-04-19T14:15:18Z,,['eng:automation'],0,0,False
861004303,isabelrios,2021-04-19T07:38:33Z,,"['eng:automation', 'eng:intermittent-test']",0,0,False
861002680,isabelrios,2021-04-19T07:36:39Z,,['eng:intermittent-test'],0,0,False
860794082,dudss37,2021-04-18T23:34:16Z,2021-04-19T07:34:17Z,['Bug 🐞'],0,0,False
860598971,hayya33,2021-04-18T07:49:01Z,2021-04-19T07:34:30Z,['Bug 🐞'],2,0,False
859689338,SimonBasca,2021-04-16T10:31:53Z,,['eng:automation'],0,0,False
859137568,nbhasin2,2021-04-15T18:17:58Z,2021-05-31T14:31:06Z,['QA Verified'],11,0,False
859046938,boek,2021-04-15T16:26:26Z,,['Technical Debt'],0,0,False
859046084,boek,2021-04-15T16:25:22Z,2021-07-08T21:31:51Z,['Bug 🐞'],5,0,False
859027983,softvision-oana-arbuzov,2021-04-15T16:02:41Z,,"['Bug 🐞', 'P1']",1,0,False
858607404,isabelrios,2021-04-15T07:58:12Z,2021-06-21T14:45:52Z,"['eng:automation', 'eng:intermittent-test']",1,0,False
858414433,karlcow,2021-04-15T02:23:48Z,,"['Bug 🐞', 'P2']",0,0,False
858335480,krupa-raj,2021-04-14T23:18:44Z,2021-05-10T15:13:52Z,"['Bug 🐞', 'P1']",1,4,False
857497064,karlcow,2021-04-14T03:56:42Z,2021-04-14T08:54:31Z,"['Bug 🐞', 'qa-triaged']",3,0,False
857125745,boek,2021-04-13T16:23:36Z,2021-04-30T22:05:42Z,"['Bug 🐞', 'P1', 'QA Verified', 'security']",3,0,False
856858276,isabelrios,2021-04-13T11:16:03Z,,['eng:automation'],0,0,False
856697324,isabelrios,2021-04-13T08:03:10Z,,"['eng:automation', 'eng:intermittent-test']",0,0,False
855749991,tillchen,2021-04-12T09:14:43Z,,"['Bug 🐞', 'P2']",0,0,False
855241959,cpeterso,2021-04-11T07:38:21Z,,"['Bug 🐞', 'P3']",2,0,False
854873410,boek,2021-04-09T21:46:57Z,,"['1', 'Bug 🐞', 'Technical Debt']",0,0,False
854856693,data-sync-user,2021-04-09T21:11:50Z,,['Feature-Request'],1,0,False
854405641,isabelrios,2021-04-09T10:43:47Z,,"['Bug 🐞', 'P2', 'Regression']",0,0,False
854402532,isabelrios,2021-04-09T10:39:33Z,2021-04-13T03:46:19Z,"['Bug 🐞', 'QA Verified', 'Regression']",1,0,False
853710337,isabelrios,2021-04-08T17:53:49Z,,['eng:automation'],0,0,False
853325002,isabelrios,2021-04-08T10:33:02Z,2021-04-19T12:14:36Z,"['Bug 🐞', 'P1', 'QA Verified', 'eng:bug-auto-found']",5,0,False
851823367,ksy36,2021-04-06T21:27:23Z,,"['Bug 🐞', 'P2']",1,0,False
851656276,data-sync-user,2021-04-06T17:45:11Z,2021-04-28T16:25:29Z,['QA Verified'],2,0,False
851596078,boek,2021-04-06T16:29:47Z,,"['Bug 🐞', 'Crash', 'P1']",0,0,False
851485697,isabelrios,2021-04-06T14:28:29Z,,"['Bug 🐞', 'eng:bug-auto-found']",0,0,False
850890658,MilanPatel718,2021-04-06T02:13:19Z,,['Bug 🐞'],0,0,False
850391377,isabelrios,2021-04-05T14:06:21Z,,"['eng:automation', 'eng:intermittent-test']",0,0,False
849941753,isabelrios,2021-04-04T19:13:04Z,,"['eng:automation', 'eng:intermittent-test']",1,0,False
849551811,ksy36,2021-04-03T01:33:20Z,,"['Bug 🐞', 'P2']",0,0,False
849097341,SimonBasca,2021-04-02T09:08:51Z,,"['eng:automation', 'eng:intermittent-test']",2,0,False
848983275,karlcow,2021-04-02T05:54:26Z,,"['Bug 🐞', 'P2']",0,0,False
848746934,ksy36,2021-04-01T19:55:27Z,2021-05-14T12:03:25Z,"['Bug 🐞', 'P1', 'QA Verified']",10,1,False
848108542,karlcow,2021-04-01T07:17:09Z,,['Bug 🐞'],1,0,False
847530082,eliserichards,2021-03-31T23:29:30Z,2021-04-01T18:21:53Z,['Bug 🐞'],1,0,False
846261875,SimonBasca,2021-03-31T09:17:55Z,2021-03-31T10:39:33Z,"['eng:automation', 'eng:intermittent-test']",0,0,False
844677946,isabelrios,2021-03-30T14:49:14Z,2021-04-08T07:41:43Z,['eng:automation'],2,0,False
844394999,SimonBasca,2021-03-30T11:21:02Z,2021-03-30T18:13:47Z,"['Bug 🐞', 'QA Verified']",1,0,False
844224482,isabelrios,2021-03-30T08:29:29Z,2021-03-30T20:09:53Z,['eng:intermittent-test'],1,0,False
843055039,isabelrios,2021-03-29T07:16:09Z,,"['eng:automation', 'eng:intermittent-test']",13,0,False
843054068,isabelrios,2021-03-29T07:14:52Z,2021-04-05T20:47:08Z,"['eng:automation', 'eng:intermittent-test']",3,0,False
842541307,timstr,2021-03-27T15:56:01Z,,"['Bug 🐞', 'P3']",0,0,False
842474511,hayya33,2021-03-27T10:32:15Z,2021-03-29T16:41:41Z,['Bug 🐞'],1,0,False
842325335,thomasmaurel,2021-03-26T22:04:20Z,2021-04-22T16:59:37Z,['Bug 🐞'],4,0,False
841884288,gutley,2021-03-26T12:08:10Z,2021-05-19T21:12:12Z,"['P1', 'QA Verified']",3,1,False
841185311,data-sync-user,2021-03-25T18:10:45Z,,['Crash'],0,0,False
840890979,isabelrios,2021-03-25T12:44:29Z,,['eng:automation'],0,0,False
840883283,isabelrios,2021-03-25T12:34:48Z,2021-06-23T09:01:47Z,['eng:automation'],1,0,False
840842332,SimonBasca,2021-03-25T11:39:28Z,,"['Bug 🐞', 'Crash', 'P2']",0,0,False
840519759,brampitoyo,2021-03-25T03:22:51Z,2021-06-03T19:38:16Z,['QA Verified'],2,0,False
840517983,brampitoyo,2021-03-25T03:18:56Z,2021-06-03T19:38:16Z,['QA Verified'],2,0,False
840511027,brampitoyo,2021-03-25T03:01:37Z,2021-06-03T19:38:16Z,['QA Verified'],2,0,False
840507422,brampitoyo,2021-03-25T02:52:27Z,2021-06-03T19:38:16Z,['QA Verified'],2,0,False
